Category,message,Mensagem
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Vá até Jurong Point, é uma loucura... Disponível apenas no buffet do Great World em Bugis... O cinema lá tem mais opções..."
ham,Ok lar... Joking wif u oni...,"Ok, lar... Brincando com você oni..."
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Participação gratuita em um sorteio semanal de ingressos para a final da FA Cup, dia 21 de maio de 2005. Envie um SMS com a palavra FA para 87121 para receber a pergunta de participação (tarifa padrão de SMS). Termos e condições se aplicam. 08452810075 (maiores de 18 anos)."
ham,U dun say so early hor... U c already then say...,"Não diga isso tão cedo, né... Você já viu, então diga..."
ham,"Nah I don't think he goes to usf, he lives around here though","Não, acho que ele não estuda na USF, mas mora por aqui."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Olá, querido(a), já faz 3 semanas e nenhuma resposta! Gostaria de me divertir um pouco, você ainda topa? Tb ok! XxX Taxas padrão de envio, £1,50 para receber."
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Nem meu irmão gosta de falar comigo. Eles me tratam como se eu tivesse AIDS.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Conforme solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu toque de chamada para todos os chamadores. Pressione *9 para copiar o toque de chamada de seus amigos."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"GANHOU!! Como cliente valioso da nossa rede, você foi selecionado para receber um prêmio de £900! Para resgatar o prêmio, ligue para 09061701461. Código do prêmio: KL341. Válido por apenas 12 horas."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Tem o seu telemóvel há 11 meses ou mais? Tem direito a uma atualização gratuita para os mais recentes telemóveis a cores com câmara! Ligue gratuitamente para a The Mobile Update Co no número 08002986030.
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Vou chegar em casa em breve e não quero mais falar sobre isso hoje à noite, ok? Já chorei o suficiente por hoje."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","Seis chances de ganhar DINHEIRO! De 100 a 20.000 libras. Envie um SMS com o texto CSH11 para 87575. Custo: £0,150 por dia, 6 dias, para maiores de 16 anos. Aplicam-se os Termos e Condições. Responda com HL para mais informações."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENTE! Você ganhou uma semana de associação GRÁTIS em nosso sorteio de prêmios de £100.000! Envie a palavra: CLAIM para o número: 81010. Termos e Condições: www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Tenho procurado as palavras certas para agradecer por este alívio. Prometo que não darei sua ajuda como garantida e cumprirei minha promessa. Você tem sido maravilhosa e uma bênção em todos os momentos.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,TENHO UM ENCONTRO COM O WILL NO DOMINGO!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Para usar seu crédito, clique no link WAP na próxima mensagem de texto ou clique aqui >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),"Ah, ok... estou assistindo aqui :)"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Você se lembra como se escreve o nome dele? Sim, eu lembro. Ele é muito safado, me deixa toda molhada."
ham,Fine if thats the way u feel. Thats the way its gota b,Tudo bem se é assim que você se sente. Tem que ser assim.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","Inglaterra x Macedônia - não perca os gols e as notícias das equipes. Envie um SMS com o nome da sua seleção para 87077, por exemplo, INGLATERRA para 87077. Experimente: PAÍS DE GALES, ESCÓCIA. 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,É assim mesmo que se escreve o nome dele?
ham,I‘m going to try for 2 months ha ha only joking,"Vou tentar por 2 meses, haha, só brincando."
ham,So ü pay first lar... Then when is da stock comin...,Então você paga primeiro... E quando o estoque chega...?
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"Depois que eu terminar meu almoço, vou direto para o restaurante. Lá pelas 3 e alguma coisa. Você já terminou seu almoço?"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Ffffffffff. Certo, não tem como eu te encontrar mais cedo?"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Me forcei a comer uma fatia. Mas na verdade não estou com fome. Que droga. O Mark está ficando preocupado. Ele sabe que estou doente quando recuso pizza. Haha
ham,Lol your always so convincing.,"Haha, você sempre me convenceu muito."
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Você pegou o ônibus? Está fritando um ovo? Fez um chá? Está comendo a sobra do jantar da sua mãe? Sente o meu amor?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Voltei e estamos arrumando o carro agora. Te aviso se tiver espaço.
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Trabalho. Lembro vagamente disso! Como é a sensação? Rsrs
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Espera, isso ainda não está muito claro. Você não tinha certeza se eu estava sendo sarcástico ou se era por isso que x não queria morar conosco?"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,"Sim, ele chegou às 2 e se desculpou bastante. Eles tinham brigado e ela estava agindo como uma criança mimada, e ele acabou se envolvendo nisso. Até às 2! Mas não vamos entrar nesse assunto! Não estou indo tão mal, obrigado. E você?"
ham,K tell me anything about you.,"K, me conte tudo sobre você."
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,Com medo de desmaiar depois de toda essa faxina que você acabou de fazer? Que tal tomar uma xícara de chá?
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Obrigado por assinar o Ringtone UK. Seu celular será cobrado em £5/mês. Por favor, confirme respondendo SIM ou NÃO. Se você responder NÃO, não haverá cobrança."
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Sim... Ok, vou para casa, olho os horários e mando mensagem para você de novo... A Xuhui também vai ter aula no dia 2 de maio, mas a aula dela é às 8h."
ham,"Oops, I'll let you know when my roommate's done","Ops, aviso quando meu colega de quarto terminar."
ham,I see the letter B on my car,Vejo a letra B no meu carro.
ham,Anything lor... U decide...,Qualquer coisa... Você decide...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Olá! Como você está e como foi o sábado? Só mandei mensagem para saber se você já decidiu fazer alguma coisa amanhã. Não que eu esteja tentando me convidar nem nada!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"Por favor, prossiga com os watts. Eu só queria ter certeza. Tenha um ótimo fim de semana. Abiola"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Será que eu esqueci de te dizer? Eu te quero, eu preciso de você, eu te desejo... Mas acima de tudo... eu te amo, meu doce cavalo árabe... Hummm... Que delícia!"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = Tentamos ligar para você em relação à sua resposta ao nosso SMS sobre um celular Nokia e uma filmadora grátis. Ligue agora para 08000930705 para entrega amanhã.
ham,WHO ARE YOU SEEING?,COM QUEM VOCÊ ESTÁ SE SENTINDO?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Ótimo! Espero que você goste do seu homem bem dotado. Eu tenho <#> polegadas...
ham,No calls..messages..missed calls,Nenhuma chamada...mensagem...chamada perdida
ham,Didn't you get hep b immunisation in nigeria.,Você não recebeu a vacina contra hepatite B na Nigéria?
ham,"Fair enough, anything going on?","Certo, alguma novidade?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Sim, espero que sim. Se o Tyler não puder, talvez eu consiga perguntar por aí."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Você não imagina o quanto sou teimosa. Eu nem queria ir ao hospital. Ficava dizendo para o Mark que eu não era uma fraca. Hospitais são para fracos.
ham,What you thinked about me. First time you saw me in class.,O que você pensou de mim. A primeira vez que você me viu na aula.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Um grama geralmente custa algo como &lt;#&gt; , meio oitavo é mais inteligente e te dá quase um segundo grama inteiro por &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"Só para você saber, o X tem uma carona amanhã cedo, mas vai dormir aqui em casa hoje à noite."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Nossa. Nunca imaginei que você estivesse tão constrangido com a sua acomodação. Achei que você gostasse, já que eu estava fazendo o meu melhor e você sempre parecia tão feliz com ""a caverna"". Me desculpe por não ter e não ter mais nada a oferecer. Me desculpe por ter me oferecido. Me desculpe por seu quarto ter sido tão constrangedor."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: O New Jersey Devils e o Detroit Red Wings jogam hóquei no gelo. Correto ou incorreto? Fim? Responder FIM SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Você sabe o que Mallika Sherawat fez ontem? Descubra agora em <URL>
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Parabéns! Você ganhou um passe especial de cinema de 1 ano para 2 pessoas. Ligue agora para 09061209465! Superman V, Matrix 3, Star Wars 3 e outros filmes, todos GRÁTIS! bx420-ip4-5we. 150pm. Não perca!"
ham,"Sorry, I'll call later in meeting.","Desculpe, ligo mais tarde durante a reunião."
ham,Tell where you reached,Diga onde você chegou.
ham,Yes..gauti and sehwag out of odi series.,Sim... Gauti e Sehwag estão fora da série de ODIs.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Você vai ter que comprar um hambúrguer de 1 dólar para você no caminho para casa. Eu não consigo nem me mexer. A dor está me matando.
ham,Ha ha ha good joke. Girls are situation seekers.,"Hahaha, boa piada. As garotas adoram buscar oportunidades."
ham,Its a part of checking IQ,Faz parte da avaliação do QI.
ham,"Sorry my roommates took forever, it ok if I come by now?","Desculpe a demora dos meus colegas de quarto, posso ir aí agora?"
